name	year	discipline	total_years	society_name	society_members	attendees	venue	frequency	sponsors	virtual_option	digital_archives	attendance_cost	registration_fee	carbon_footprint	other_carbon_footprint	electonic_program	onsite_maternity	onsite_childcare	caregiver_grant	career_development	ecr_promotion_events	travel_awards	code_of_conduct	safety_instructions	gender_balance	keynote_gender_balance	speaker_gender_balance	invited_gender_balance	session_chair_gender_balance	conference_chair_gender_balance	environmental_sustainability	public_engagement	sustainability_initiatives	conference_url	other_details
AMSE and ICMMME ( International Conference on Manufacturing, Material and Metallurgical Engineering)	2020	Advanced materials science and engineering	5	Not Applicable	Not Applicable	1000	Osaka, Japan	Annual	Washington University at Saint Luis, SIE, Sun Moon University, ChoSun University Korea, Sichuan University, Sampe (Chengdu chapter)	None	None	 $2000-4000	$250-$450	1500	300	None	None	None	None	None	None	None	None	None	None	2 Men	1 Man	No information available	Not Applicable to this meeting.	Conference chairs: 2 Men, Program chairs: 3 Men, local arrangement chair: 1 Man	None	None	None	http://amse.net/venue.html	
IC3E (International conference on Environmental and Energy Engineering)	2020	Environmental and Energy Engineering	4	International Society for Environmental Information Sciences (ISEIS) and Asia Pacific Institute of Science and Engineering(APISE)	1500	800	Sanya, China	Annual	APISE, ISEIS	None	None	 $2000-4000	$300-$650	1200	240	None	None	None	None	None	None	None	None	None	None	2 Men	Not Applicable to this meeting.	3 Men	Not Applicable to this meeting.	Conf co-charis: 2 Men, Scientific committee: 1 Man	None	None	None	http://www.ic3e.net/	
ICMR (International Conference on Mechatronics and Robotics Engineering) meeting	2020	Mechanotronic & Robotics	6	Not Applicable	Not Applicable	1000	Barcelona, Spain	Annual	No information available online	None	None	 $2000-4000	$300-$650	1500	300	Yes the meeting program was available online as a .pdf file.	None	None	None	None	None	None	None	None	None	2 Men	Not Applicable to this meeting.	1 Man	Session chairs: 6 Men: 1 Woman	Conf Chairs:2 Men, Program Committee Chairs: 2 Men, Steering Committee: 3 Men	None	None	None	http://www.icmre.org/	
Vector Born Infectious Disease meeting	2020	Virology & Infectious Disease	1	The University of Texas Medical Branch, Nature Communications, and npj Vaccines	Not Applicable	200	Moody Gardens Hotel, Galveston, TX	Annual	The University of Texas Medical Branch, Nature Communications, and npj Vaccines	None	None	 $2000-4000	$200-$675	300	60	Yes the meeting program was available online.	None	None	None	None	None	None	None	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	16 Men: 9 Women	Session chairs: 4 Men: 1 Woman	Scientific committee: 7 Men: 3 Women	None	None	None	https://www.nature.com/natureconferences/vectorborneid20/index.html	
IEEE 8th International Conference on Bioinformatics and Computational Biology (ICBCB)	2019	Computational Biology	7	Not Applicable	Not Applicable	2000	Taiyuan, China	Annual	IEEE, BBS (Biology & Bioinformatics Society), ShangXI Medical University, college of life sciences Zhejiang university, 	None	None	 $2000-4000	$200-$600	3000	600	Yes the meeting program was available online.	None	None	None	None	None	None	None	None	None	4 Men	2 Men 	1 Man	3 Men session chairs	general conference chair: 3 Men, Program Chairs: 5 Men	None	None	None	http://www.icbcb.org/	
International Conference on Key Engineering Materials (ICKEM)	2020	Engineering Materials	10	co-sponsored by IACSIT and Universidad Complutense, Spain	Not Applicable	200	Marid, Spain	Annual	None	None	None	 $2000-4000	$200-$650	300	60	None	None	None	None	None	None	None	None	None	None	3 Men: 1 Woman	None	1 Man	None	1 Man	None	None	None	http://www.ickem.org/	
International Conference on Pharmacy and Pharmaceutical Science 	2020	Pharmaceutical Science 	5	A forum for biologists, methods developers and computational modellers interested in understanding biology at single cell resolution	Not Applicable	2000	Tokyo, Japan	Annual	Meiji University, CBEES, BBS	None	None	 $2000-4000	$280-$600	3000	600	Yes the meeting program was available online.	None	None	None	None	None	None	None	None	None	2 Men 	No information available	No information available	No information available	Conference Chair: 1 Man, Program co-chairs: 2 Men, 1 Woman, local organizing committee chair: 1Man	None	None	None	http://www.icpps.org/	
Single Cell Biology	2020	Biology, Biophysics	1	The UK Wellcome Trust	Not Applicable	300	Wellcome Genome Campus, UK	Annual	10xGenomics(https://www.10xgenomics.com/), Takara(https://www.takarabio.com/), PArtek(https://www.partek.com/), sptlabtech(https://www.sptlabtech.com/), dolomitebio(https://www.dolomite-bio.com/), biotechne(https://www.bio-techne.com/), Cytena(https://www.cytena.com/home.html)	None	None	 $2000-4000	$385-$1062 	450	90	Yes the meeting program was available online as a .pdf file.	None	None	None	None	None	Yes (A limited number of registration bursaries are available for PhD students to attend this conference (up to 50% of the standard registration fee) from Wellcome Genome Campus Scientific Conferences.)	None	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	21 Men: 16 Women	3 Women: 2 Men	Program committee: 2 Men: 2 Women	None	None	None	https://coursesandconferences.wellcomegenomecampus.org/our-events/single-cell-biology-2020/	https://coursesandconferences.wellcomegenomecampus.org/wp-content/uploads/2020/02/SCB-Programme.pdf
GeoEarth2020 meeting 	2020	Geology & Earth Science	2	Not Applicable	Not Applicable	1000	Osaka, Japan	Annual	No Information available online	None	None	 $2000-4000	$499-$1399	1500	300	Yes the meeting program was available online.	None	None	Yes (Our new carer grants help delegates with the costs of caring for children or dependent family members while attending our Wellcome Genome Campus events. The grants can be used to pay for childcare/care at home (e.g. babysitter, carer) or at a registered provider while the delegate is at the event. For terms and conditions and to apply for a carer grant, please download the Carer Grant application form below.)	None	None	Yes (As standard, Wellcome Genome Campus Scientific Conferences offers a limited number of registration bursaries are available for PhD students to attend our conferences, covering up to 50% of the registration fee. Sometimes extra bursaries are made possible by conference sponsors.)	None	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	18 Men: 4 Women	Not Applicable to this meeting.	Scientific committee: 5 Men: 3 Women	None	None	None	https://geology-earthscience.com/	
ASBMR 2020	2020	Bone disease research	20	American Society for Bone and Mineral Research	4000	4000	Seattle, Washington, USA	Annual	No Information available online	None	E-Posters from previous annual meetings were available online.	 $2000-4000		6000	1200	Yes the meeting program was available online.	None	None	None	None	None	Yes (The Young Investigator Travel Grant is awarded to the top Young Investigators who are selected to present an oral or plenary poster presentation at the ASBMR Annual Meeting. ASBMR Young Investigator Travel Grants will provide $500 for North American-based applicants and $750 for all other applicants. Eligible applicants must:     Be the first and presenting author of the abstract     Be a student/trainee or within five years of completion of a Ph.D., M.D., residency training or equivalent     Have not received any other ASBMR funded-travel or young investigator support for the 2020 Annual Meeting)	None	None	None	No information available	No information available	No information available	No information available	Organizing Committee: 7 Men: 4 Women	None	None	None	https://neuroscience.episirus.org/2020-neuroscience-psychiatry-conference/	
World Critical Care & Anesthesiology Conference	2019	Health care, Anesthesiology 	2	Neurocritical Care Society (NCS) and Maldives Anaesthesiologists Association	over 2700	3000	Bangkok, Thailand	Annual	No Information available online	None	None	 $2000-4000	$599-$1349	4500	900	Yes the meeting program was available online.	None	None	None	None	None	None	None	None	None	2 Men: 1 Woman	Not Applicable to this meeting.	No information available online	4 Men: 1 Woman	Organizing Committee: 10 Men: 1 Women	None	None	None	https://criticalcare.episirus.org/	
OLC International on Biomedical Electronic and Devices	2020	Biomedical Electronic and Devices	1	OLC international	Not Applicable	1000	Venice, Italy	Annual	OLC international company	None	None	 $2000-4000	$299-$999	1500	300	None	None	None	None	None	None	None	None	None	None	2 Men	2 Men	1 Man	No information available	11 Men	None	None	None	https://www.olcinternational.com/biomedicaldevices-2020//	
